GENEID,TXNAME,TXCHROM,TXSTRAND,exonic.gene.sizes
FBti0020430,FBti0020430-RA,4,-,549
FBti0020432,FBti0020432-RA,4,-,432
FBti0020433,FBti0020433-RA,4,-,462
FBti0020434,FBti0020434-RA,4,-,7854
FBti0020435,FBti0020435-RA,4,+,1399
FBti0020436,FBti0020436-RA,4,-,1197
FBti0020437,FBti0020437-RA,4,+,952
FBti0020438,FBti0020438-RA,4,+,1133
FBti0020439,FBti0020439-RA,4,+,878
FBti0020440,FBti0020440-RA,4,-,676
FBti0020441,FBti0020441-RA,4,-,1430
FBti0020442,FBti0020442-RA,4,-,183
FBti0020446,FBti0020446-RA,4,+,2208
FBti0020448,FBti0020448-RA,4,-,468
FBti0020449,FBti0020449-RA,4,-,78
FBti0020450,FBti0020450-RA,4,-,1093
FBti0020451,FBti0020451-RA,4,-,1089
FBti0020452,FBti0020452-RA,4,+,1080
FBti0020453,FBti0020453-RA,4,+,4587
FBti0059634,FBti0059634-RA,3L,+,2500
FBti0059635,FBti0059635-RA,2L,+,76
FBti0059636,FBti0059636-RA,2L,+,1495
FBti0059637,FBti0059637-RA,2R,-,2153
FBti0059638,FBti0059638-RA,4,+,581
FBti0059639,FBti0059639-RA,2L,-,1958
FBti0059640,FBti0059640-RA,2L,-,9471
FBti0059641,FBti0059641-RA,3L,+,299
FBti0059642,FBti0059642-RA,2L,-,196
FBti0059643,FBti0059643-RA,3L,+,368
FBti0059644,FBti0059644-RA,3L,+,368
FBti0059645,FBti0059645-RA,2R,-,12818
FBti0059646,FBti0059646-RA,2L,-,2752
FBti0059647,FBti0059647-RA,2L,-,216
FBti0059648,FBti0059648-RA,2L,-,3756
FBti0059649,FBti0059649-RA,X,+,5028
FBti0059650,FBti0059650-RA,X,+,2487
FBti0059651,FBti0059651-RA,2L,-,461
FBti0059652,FBti0059652-RA,2L,-,2032
FBti0059653,FBti0059653-RA,2L,-,719
FBti0059654,FBti0059654-RA,2L,-,1435
FBti0059655,FBti0059655-RA,4,-,3250
FBti0059656,FBti0059656-RA,2L,-,384
FBti0059657,FBti0059657-RA,3L,+,1385
FBti0059658,FBti0059658-RA,3L,-,288
FBti0059659,FBti0059659-RA,2R,+,7637
FBti0059660,FBti0059660-RA,2R,-,16462
FBti0059661,FBti0059661-RA,2R,+,98
FBti0059662,FBti0059662-RA,2R,+,373
FBti0059663,FBti0059663-RA,2R,+,136
FBti0059664,FBti0059664-RA,3L,-,989
FBti0059665,FBti0059665-RA,3L,+,8160
FBti0059666,FBti0059666-RA,3R,-,9406
FBti0059667,FBti0059667-RA,3L,+,4413
FBti0059668,FBti0059668-RA,3L,+,4110
FBti0059669,FBti0059669-RA,2L,-,69
FBti0059670,FBti0059670-RA,2L,-,1236
FBti0059671,FBti0059671-RA,3L,-,7273
FBti0059672,FBti0059672-RA,3L,+,5544
FBti0059673,FBti0059673-RA,2L,-,2675
FBti0059674,FBti0059674-RA,X,+,645
FBti0059675,FBti0059675-RA,2R,-,355
FBti0059676,FBti0059676-RA,2R,-,1385
FBti0059677,FBti0059677-RA,3L,+,143
FBti0059678,FBti0059678-RA,4,+,2897
FBti0059679,FBti0059679-RA,4,-,1737
FBti0059680,FBti0059680-RA,4,-,1123
FBti0059681,FBti0059681-RA,4,+,1104
FBti0059682,FBti0059682-RA,4,-,1421
FBti0059683,FBti0059683-RA,2L,+,1254
FBti0059684,FBti0059684-RA,2R,-,6590
FBti0059685,FBti0059685-RA,2R,+,1637
FBti0059686,FBti0059686-RA,2R,-,1105
FBti0059687,FBti0059687-RA,X,-,1139
FBti0059688,FBti0059688-RA,4,-,2896
FBti0059689,FBti0059689-RA,4,+,1158
FBti0059690,FBti0059690-RA,2R,-,4454
FBti0059691,FBti0059691-RA,2R,-,14127
FBti0059692,FBti0059692-RA,X,-,6521
FBti0059693,FBti0059693-RA,2R,+,11930
FBti0059694,FBti0059694-RA,4,-,1664
FBti0059695,FBti0059695-RA,2L,+,6169
FBti0059696,FBti0059696-RA,X,-,1379
FBti0059697,FBti0059697-RA,X,-,32921
FBti0059698,FBti0059698-RA,X,-,15521
FBti0059699,FBti0059699-RA,X,+,4229
FBti0059700,FBti0059700-RA,2L,+,2202
FBti0059701,FBti0059701-RA,2L,-,2758
FBti0059702,FBti0059702-RA,2L,-,15425
FBti0059703,FBti0059703-RA,2R,+,10501
FBti0059704,FBti0059704-RA,2R,+,7835
FBti0059705,FBti0059705-RA,2L,+,8640
FBti0059706,FBti0059706-RA,3R,+,8107
FBti0059707,FBti0059707-RA,X,-,17100
FBti0059708,FBti0059708-RA,X,-,4883
FBti0059709,FBti0059709-RA,X,-,2758
FBti0059710,FBti0059710-RA,X,-,7156
FBti0059711,FBti0059711-RA,2L,-,2624
FBti0059712,FBti0059712-RA,2L,-,634
FBti0059713,FBti0059713-RA,2L,-,3408
FBti0059714,FBti0059714-RA,3L,+,9538
FBti0059715,FBti0059715-RA,2L,+,2976
FBti0059716,FBti0059716-RA,2L,+,8791
FBti0059717,FBti0059717-RA,3R,-,398
FBti0059718,FBti0059718-RA,3R,-,399
FBti0059719,FBti0059719-RA,3R,-,388
FBti0059720,FBti0059720-RA,3R,-,1256
FBti0059721,FBti0059721-RA,3R,-,900
FBti0059722,FBti0059722-RA,3R,-,1238
FBti0059723,FBti0059723-RA,3R,-,1259
FBti0059724,FBti0059724-RA,3R,-,1258
FBti0059725,FBti0059725-RA,3R,-,1753
FBti0059726,FBti0059726-RA,2R,+,9995
FBti0059727,FBti0059727-RA,2R,+,66001
FBti0059728,FBti0059728-RA,2R,+,7966
FBti0059729,FBti0059729-RA,2R,+,26764
FBti0059730,FBti0059730-RA,2R,+,736
FBti0059731,FBti0059731-RA,2R,-,10473
FBti0059732,FBti0059732-RA,2R,+,1405
FBti0059733,FBti0059733-RA,2R,-,5147
FBti0059734,FBti0059734-RA,2R,-,15283
FBti0059735,FBti0059735-RA,2L,+,12144
FBti0059736,FBti0059736-RA,3L,-,3407
FBti0059737,FBti0059737-RA,2L,+,21376
FBti0059738,FBti0059738-RA,2L,+,3044
FBti0059739,FBti0059739-RA,2R,+,7403
FBti0059740,FBti0059740-RA,3R,+,1458
FBti0059741,FBti0059741-RA,2R,-,2645
FBti0059742,FBti0059742-RA,2R,+,3721
FBti0059743,FBti0059743-RA,4,-,3424
FBti0059744,FBti0059744-RA,2L,-,10654
FBti0059745,FBti0059745-RA,2L,+,6856
FBti0059746,FBti0059746-RA,4,-,2939
FBti0059747,FBti0059747-RA,2L,-,14327
FBti0059748,FBti0059748-RA,2L,+,1889
FBti0059749,FBti0059749-RA,2L,-,349
FBti0059750,FBti0059750-RA,3R,-,1274
FBti0059751,FBti0059751-RA,3R,-,6651
FBti0059752,FBti0059752-RA,3R,-,1154
FBti0059753,FBti0059753-RA,3R,-,1168
FBti0059754,FBti0059754-RA,3R,-,3188
FBti0059755,FBti0059755-RA,3R,-,1154
FBti0059756,FBti0059756-RA,3R,-,1182
FBti0059757,FBti0059757-RA,3R,-,1252
FBti0059759,FBti0059759-RA,3R,+,2572
FBti0059760,FBti0059760-RA,2R,+,13519
FBti0059761,FBti0059761-RA,3L,+,16254
FBti0059762,FBti0059762-RA,3R,+,9151
FBti0059763,FBti0059763-RA,3L,-,6851
FBti0059764,FBti0059764-RA,4,-,3455
FBti0059765,FBti0059765-RA,X,-,10104
FBti0059766,FBti0059766-RA,4,+,2150
FBti0059767,FBti0059767-RA,2L,+,9099
FBti0059768,FBti0059768-RA,2R,-,16093
FBti0059769,FBti0059769-RA,3L,+,26406
FBti0059770,FBti0059770-RA,2R,-,7616
FBti0059771,FBti0059771-RA,2R,-,1026
FBti0059772,FBti0059772-RA,X,+,3278
FBti0059773,FBti0059773-RA,3L,-,4355
FBti0059774,FBti0059774-RA,2R,+,17702
FBti0059775,FBti0059775-RA,3R,+,13188
FBti0059776,FBti0059776-RA,2L,-,4703
FBti0059777,FBti0059777-RA,X,-,30008
FBti0059778,FBti0059778-RA,2R,+,11981
FBti0059779,FBti0059779-RA,3L,+,2355
FBti0059780,FBti0059780-RA,3L,+,5127
FBti0059781,FBti0059781-RA,2R,+,14717
FBti0059782,FBti0059782-RA,X,+,3608
FBti0059783,FBti0059783-RA,3R,+,51
FBti0059784,FBti0059784-RA,3R,+,38
FBti0059785,FBti0059785-RA,3R,+,230
FBti0059786,FBti0059786-RA,3R,+,35
FBti0059787,FBti0059787-RA,3R,-,31
FBti0059788,FBti0059788-RA,2R,-,31
FBti0059789,FBti0059789-RA,3R,+,490
FBti0059790,FBti0059790-RA,2R,-,31
FBti0059791,FBti0059791-RA,2R,-,1374
FBti0059793,FBti0059793-RA,2R,+,116
FBti0059794,FBti0059794-RA,2L,-,3612
FBti0059795,FBti0059795-RA,2L,-,39
FBti0059796,FBti0059796-RA,3R,+,778
FBti0059797,FBti0059797-RA,2R,-,232
FBti0059798,FBti0059798-RA,3R,+,436
FBti0059799,FBti0059799-RA,2R,+,919
FBti0059801,FBti0059801-RA,3R,-,67
FBti0059802,FBti0059802-RA,2R,-,235
FBti0059803,FBti0059803-RA,2R,-,525
FBti0059804,FBti0059804-RA,2R,-,57
FBti0059805,FBti0059805-RA,3R,-,71
FBti0059807,FBti0059807-RA,2R,+,57
FBti0059809,FBti0059809-RA,2R,+,425
FBti0059810,FBti0059810-RA,2L,-,62
FBti0059811,FBti0059811-RA,2R,+,173
FBti0059812,FBti0059812-RA,2L,+,227
FBti0059813,FBti0059813-RA,2R,-,271
FBti0059814,FBti0059814-RA,2L,-,259
FBti0059815,FBti0059815-RA,2R,-,247
FBti0059816,FBti0059816-RA,2L,+,341
FBti0059817,FBti0059817-RA,2R,-,1676
FBti0059818,FBti0059818-RA,2L,+,111
FBti0059819,FBti0059819-RA,2L,-,35
FBti0059820,FBti0059820-RA,2L,-,34
FBti0059821,FBti0059821-RA,2L,-,67
FBti0059824,FBti0059824-RA,3R,-,118
FBti0059825,FBti0059825-RA,3R,-,116
FBti0059826,FBti0059826-RA,3R,+,62
FBti0059827,FBti0059827-RA,2R,+,86
FBti0059830,FBti0059830-RA,2R,-,9112
FBti0059831,FBti0059831-RA,2R,-,4692
FBti0059832,FBti0059832-RA,2R,+,36
FBti0059833,FBti0059833-RA,2R,-,4692
FBti0059835,FBti0059835-RA,2L,+,58
FBti0059836,FBti0059836-RA,3L,+,111
FBti0059837,FBti0059837-RA,3L,-,1684
FBti0059838,FBti0059838-RA,3L,+,712
FBti0059840,FBti0059840-RA,3L,+,1558
FBti0059841,FBti0059841-RA,3L,-,172
FBti0059843,FBti0059843-RA,3L,-,734
FBti0059844,FBti0059844-RA,3R,-,323
FBti0059845,FBti0059845-RA,3L,-,2869
FBti0059846,FBti0059846-RA,2R,-,564
FBti0059847,FBti0059847-RA,3R,-,42
FBti0059848,FBti0059848-RA,3L,+,149
FBti0059849,FBti0059849-RA,2R,-,588
FBti0059850,FBti0059850-RA,3R,+,51
FBti0059851,FBti0059851-RA,2R,-,609
FBti0059852,FBti0059852-RA,2L,+,39
FBti0059853,FBti0059853-RA,2L,-,34
FBti0059854,FBti0059854-RA,3L,+,1874
FBti0059855,FBti0059855-RA,3R,-,99
FBti0059856,FBti0059856-RA,3L,-,5025
FBti0059857,FBti0059857-RA,3R,+,41
FBti0059858,FBti0059858-RA,3L,-,99
FBti0059859,FBti0059859-RA,3L,+,6313
FBti0059860,FBti0059860-RA,3L,+,6734
FBti0059861,FBti0059861-RA,3L,-,225
FBti0059862,FBti0059862-RA,2R,+,215
FBti0059863,FBti0059863-RA,3L,-,234
FBti0059864,FBti0059864-RA,3L,-,139
FBti0059865,FBti0059865-RA,2R,-,174
FBti0059867,FBti0059867-RA,3L,+,2867
FBti0059868,FBti0059868-RA,2R,+,416
FBti0059869,FBti0059869-RA,2R,+,105
FBti0059870,FBti0059870-RA,2R,+,113
FBti0059871,FBti0059871-RA,2R,+,124
FBti0059872,FBti0059872-RA,2R,+,113
FBti0059873,FBti0059873-RA,3L,+,753
FBti0059875,FBti0059875-RA,3R,+,269
FBti0059876,FBti0059876-RA,3R,-,57
FBti0059877,FBti0059877-RA,3R,+,63
FBti0059878,FBti0059878-RA,3L,+,592
FBti0059879,FBti0059879-RA,3R,+,310
FBti0059880,FBti0059880-RA,3L,+,362
FBti0059881,FBti0059881-RA,2R,+,124
FBti0059882,FBti0059882-RA,3L,-,844
FBti0059883,FBti0059883-RA,2R,+,113
FBti0059884,FBti0059884-RA,2R,+,61
FBti0059885,FBti0059885-RA,3L,-,7841
FBti0059886,FBti0059886-RA,2R,+,48
FBti0059887,FBti0059887-RA,2R,+,48
FBti0059889,FBti0059889-RA,3L,+,2469
FBti0059890,FBti0059890-RA,3L,-,1206
FBti0059891,FBti0059891-RA,3R,-,62
FBti0059892,FBti0059892-RA,3R,+,370
FBti0059893,FBti0059893-RA,3L,+,228
FBti0059894,FBti0059894-RA,3L,+,1023
FBti0059896,FBti0059896-RA,3L,-,438
FBti0059897,FBti0059897-RA,3R,+,449
FBti0059898,FBti0059898-RA,3L,+,1806
FBti0059899,FBti0059899-RA,3R,-,71
FBti0059900,FBti0059900-RA,3L,+,94
FBti0059901,FBti0059901-RA,3R,+,62
FBti0059902,FBti0059902-RA,3L,+,726
FBti0059903,FBti0059903-RA,3R,+,105
FBti0059904,FBti0059904-RA,3L,-,458
FBti0059906,FBti0059906-RA,3L,-,1532
FBti0059907,FBti0059907-RA,3R,-,33
FBti0059908,FBti0059908-RA,3L,+,45
FBti0059914,FBti0059914-RA,X,-,51
FBti0059915,FBti0059915-RA,3L,-,4225
FBti0059916,FBti0059916-RA,3L,-,740
FBti0059917,FBti0059917-RA,3L,+,75
FBti0059918,FBti0059918-RA,3L,-,383
FBti0059921,FBti0059921-RA,3L,-,222
FBti0059922,FBti0059922-RA,3L,+,64
FBti0059923,FBti0059923-RA,3L,+,779
FBti0059924,FBti0059924-RA,3L,+,1636
FBti0059925,FBti0059925-RA,X,+,263
FBti0059926,FBti0059926-RA,X,-,159
FBti0059927,FBti0059927-RA,3L,-,221
FBti0059928,FBti0059928-RA,3L,+,216
FBti0059929,FBti0059929-RA,3L,+,121
FBti0059930,FBti0059930-RA,3L,+,448
FBti0059931,FBti0059931-RA,3L,-,256
FBti0059932,FBti0059932-RA,3L,-,121
FBti0059933,FBti0059933-RA,3L,-,400
FBti0059934,FBti0059934-RA,3L,-,287
FBti0059936,FBti0059936-RA,X,-,38
FBti0059938,FBti0059938-RA,X,-,141
FBti0059939,FBti0059939-RA,3L,-,458
FBti0059940,FBti0059940-RA,3L,+,1251
FBti0059941,FBti0059941-RA,3L,-,1093
FBti0059942,FBti0059942-RA,3L,-,454
FBti0059943,FBti0059943-RA,3L,-,59
FBti0059944,FBti0059944-RA,3L,-,336
FBti0059945,FBti0059945-RA,3L,-,297
FBti0059946,FBti0059946-RA,X,-,172
FBti0059947,FBti0059947-RA,X,+,48
FBti0059948,FBti0059948-RA,3L,-,366
FBti0059949,FBti0059949-RA,3L,-,153
FBti0059950,FBti0059950-RA,3L,+,259
FBti0059951,FBti0059951-RA,X,+,54
FBti0059952,FBti0059952-RA,3L,+,360
FBti0059953,FBti0059953-RA,X,-,47
FBti0059954,FBti0059954-RA,3L,+,93
FBti0059955,FBti0059955-RA,3L,+,86
FBti0059956,FBti0059956-RA,3L,+,312
FBti0059957,FBti0059957-RA,3L,+,170
FBti0059958,FBti0059958-RA,3L,+,69
FBti0059959,FBti0059959-RA,3L,-,112
FBti0059960,FBti0059960-RA,X,-,60
FBti0059961,FBti0059961-RA,X,-,44
FBti0059962,FBti0059962-RA,4,+,612
FBti0059963,FBti0059963-RA,4,-,347
FBti0059964,FBti0059964-RA,4,-,233
FBti0059965,FBti0059965-RA,4,+,63
FBti0059966,FBti0059966-RA,4,-,85
FBti0059967,FBti0059967-RA,4,+,114
FBti0059968,FBti0059968-RA,4,+,51
FBti0059969,FBti0059969-RA,4,-,372
FBti0059971,FBti0059971-RA,2R,+,72
FBti0059972,FBti0059972-RA,2R,+,1958
FBti0059973,FBti0059973-RA,2R,+,1432
FBti0059975,FBti0059975-RA,2R,+,563
FBti0059976,FBti0059976-RA,2R,+,177
FBti0059977,FBti0059977-RA,4,-,250
FBti0059978,FBti0059978-RA,4,-,97
FBti0059980,FBti0059980-RA,4,+,1588
FBti0059981,FBti0059981-RA,4,+,174
FBti0059982,FBti0059982-RA,2L,-,43
FBti0059983,FBti0059983-RA,X,-,198
FBti0059984,FBti0059984-RA,4,+,229
FBti0059985,FBti0059985-RA,2L,+,104
FBti0059986,FBti0059986-RA,X,+,108
FBti0059987,FBti0059987-RA,4,-,102
FBti0059988,FBti0059988-RA,4,-,367
FBti0059990,FBti0059990-RA,4,-,91
FBti0059991,FBti0059991-RA,4,+,119
FBti0059992,FBti0059992-RA,2R,-,377
FBti0059993,FBti0059993-RA,2R,-,351
FBti0059994,FBti0059994-RA,2R,-,103
FBti0059995,FBti0059995-RA,2R,+,57
FBti0059996,FBti0059996-RA,4,-,148
FBti0059998,FBti0059998-RA,X,-,87
FBti0059999,FBti0059999-RA,4,-,54
FBti0060000,FBti0060000-RA,4,-,351
FBti0060001,FBti0060001-RA,X,+,139
FBti0060002,FBti0060002-RA,4,-,136
FBti0060003,FBti0060003-RA,X,+,139
FBti0060004,FBti0060004-RA,4,-,108
FBti0060005,FBti0060005-RA,4,+,118
FBti0060006,FBti0060006-RA,4,+,114
FBti0060007,FBti0060007-RA,4,-,261
FBti0060009,FBti0060009-RA,4,+,101
FBti0060010,FBti0060010-RA,X,+,60
FBti0060011,FBti0060011-RA,2R,+,147
FBti0060012,FBti0060012-RA,2R,-,199
FBti0060013,FBti0060013-RA,2R,-,372
FBti0060014,FBti0060014-RA,4,+,75
FBti0060016,FBti0060016-RA,4,-,150
FBti0060017,FBti0060017-RA,4,-,262
FBti0060018,FBti0060018-RA,4,+,179
FBti0060019,FBti0060019-RA,4,-,326
FBti0060020,FBti0060020-RA,4,-,370
FBti0060021,FBti0060021-RA,4,-,64
FBti0060022,FBti0060022-RA,2L,-,275
FBti0060023,FBti0060023-RA,2L,-,182
FBti0060026,FBti0060026-RA,2L,+,150
FBti0060027,FBti0060027-RA,2R,-,76
FBti0060028,FBti0060028-RA,2L,+,30
FBti0060029,FBti0060029-RA,2R,+,138
FBti0060030,FBti0060030-RA,2L,+,50
FBti0060031,FBti0060031-RA,2R,-,43
FBti0060032,FBti0060032-RA,2R,+,540
FBti0060033,FBti0060033-RA,X,-,6127
FBti0060035,FBti0060035-RA,4,-,367
FBti0060036,FBti0060036-RA,X,-,123
FBti0060037,FBti0060037-RA,4,-,164
FBti0060038,FBti0060038-RA,X,-,67
FBti0060039,FBti0060039-RA,4,-,68
FBti0060040,FBti0060040-RA,X,+,123
FBti0060041,FBti0060041-RA,4,+,438
FBti0060042,FBti0060042-RA,X,+,634
FBti0060043,FBti0060043-RA,X,-,66
FBti0060045,FBti0060045-RA,X,-,95
FBti0060047,FBti0060047-RA,X,+,61
FBti0060048,FBti0060048-RA,X,-,261
FBti0060049,FBti0060049-RA,X,-,416
FBti0060050,FBti0060050-RA,X,+,274
FBti0060051,FBti0060051-RA,2R,+,379
FBti0060052,FBti0060052-RA,2L,-,124
FBti0060053,FBti0060053-RA,2L,+,1138
FBti0060054,FBti0060054-RA,2R,+,33
FBti0060055,FBti0060055-RA,2R,+,176
FBti0060056,FBti0060056-RA,2L,-,5985
FBti0060057,FBti0060057-RA,2R,-,15516
FBti0060058,FBti0060058-RA,2R,-,145
FBti0060059,FBti0060059-RA,2L,+,1826
FBti0060060,FBti0060060-RA,X,-,207
FBti0060061,FBti0060061-RA,X,-,349
FBti0060062,FBti0060062-RA,X,+,400
FBti0060063,FBti0060063-RA,X,-,74
FBti0060065,FBti0060065-RA,X,+,106
FBti0060066,FBti0060066-RA,X,+,250
FBti0060067,FBti0060067-RA,4,-,36
FBti0060068,FBti0060068-RA,4,-,39
FBti0060069,FBti0060069-RA,X,+,61
FBti0060070,FBti0060070-RA,2R,-,3217
FBti0060071,FBti0060071-RA,2R,+,83
FBti0060072,FBti0060072-RA,2R,+,1192
FBti0060073,FBti0060073-RA,2L,-,890
FBti0060074,FBti0060074-RA,2R,-,778
FBti0060075,FBti0060075-RA,2R,-,8923
FBti0060076,FBti0060076-RA,X,+,166
FBti0060077,FBti0060077-RA,X,+,4704
FBti0060078,FBti0060078-RA,2R,-,358
FBti0060079,FBti0060079-RA,2R,-,629
FBti0060080,FBti0060080-RA,2R,-,2290
FBti0060081,FBti0060081-RA,2R,+,138
FBti0060082,FBti0060082-RA,X,-,117
FBti0060083,FBti0060083-RA,4,+,165
FBti0060084,FBti0060084-RA,X,-,25
FBti0060087,FBti0060087-RA,X,-,978
FBti0060088,FBti0060088-RA,X,-,743
FBti0060089,FBti0060089-RA,3L,+,178
FBti0060090,FBti0060090-RA,3L,-,115
FBti0060093,FBti0060093-RA,2R,+,224
FBti0060094,FBti0060094-RA,2L,-,316
FBti0060095,FBti0060095-RA,2L,+,326
FBti0060096,FBti0060096-RA,2R,+,275
FBti0060097,FBti0060097-RA,2L,+,264
FBti0060098,FBti0060098-RA,X,+,547
FBti0060099,FBti0060099-RA,2R,+,144
FBti0060101,FBti0060101-RA,X,+,165
FBti0060102,FBti0060102-RA,2R,+,318
FBti0060103,FBti0060103-RA,X,+,481
FBti0060105,FBti0060105-RA,X,+,3362
FBti0060106,FBti0060106-RA,4,-,140
FBti0060109,FBti0060109-RA,X,-,552
FBti0060111,FBti0060111-RA,X,-,154
FBti0060112,FBti0060112-RA,4,+,322
FBti0060113,FBti0060113-RA,X,-,102
FBti0060114,FBti0060114-RA,4,+,219
FBti0060117,FBti0060117-RA,2R,+,31
FBti0060119,FBti0060119-RA,3L,+,148
FBti0060120,FBti0060120-RA,2R,+,284
FBti0060121,FBti0060121-RA,2L,+,172
FBti0060122,FBti0060122-RA,3L,-,29
FBti0060123,FBti0060123-RA,2R,-,372
FBti0060124,FBti0060124-RA,3L,+,37
FBti0060125,FBti0060125-RA,2R,+,53
FBti0060126,FBti0060126-RA,2L,-,92
FBti0060127,FBti0060127-RA,3L,+,449
FBti0060128,FBti0060128-RA,2R,-,627
FBti0060129,FBti0060129-RA,2R,+,124
FBti0060130,FBti0060130-RA,2R,+,256
FBti0060131,FBti0060131-RA,2L,-,123
FBti0060132,FBti0060132-RA,2R,-,559
FBti0060133,FBti0060133-RA,X,-,246
FBti0060134,FBti0060134-RA,4,+,120
FBti0060135,FBti0060135-RA,4,+,273
FBti0060136,FBti0060136-RA,X,-,124
FBti0060137,FBti0060137-RA,4,-,47
FBti0060138,FBti0060138-RA,4,-,413
FBti0060139,FBti0060139-RA,4,-,390
FBti0060140,FBti0060140-RA,4,+,113
FBti0060141,FBti0060141-RA,4,+,176
FBti0060142,FBti0060142-RA,4,-,161
FBti0060143,FBti0060143-RA,4,-,309
FBti0060144,FBti0060144-RA,4,+,1468
FBti0060145,FBti0060145-RA,3L,-,36
FBti0060147,FBti0060147-RA,2R,-,276
FBti0060148,FBti0060148-RA,2R,-,252
FBti0060149,FBti0060149-RA,2L,+,196
FBti0060150,FBti0060150-RA,2R,+,147
FBti0060151,FBti0060151-RA,2R,+,136
FBti0060152,FBti0060152-RA,3L,-,403
FBti0060153,FBti0060153-RA,2R,+,427
FBti0060155,FBti0060155-RA,2L,+,471
FBti0060156,FBti0060156-RA,2L,-,81
FBti0060157,FBti0060157-RA,2R,-,53
FBti0060159,FBti0060159-RA,2L,-,178
FBti0060160,FBti0060160-RA,X,-,293
FBti0060161,FBti0060161-RA,X,-,137
FBti0060162,FBti0060162-RA,X,-,257
FBti0060163,FBti0060163-RA,X,-,31
FBti0060165,FBti0060165-RA,3L,+,67
FBti0060166,FBti0060166-RA,3L,+,298
FBti0060167,FBti0060167-RA,3L,-,191
FBti0060168,FBti0060168-RA,3L,-,255
FBti0060169,FBti0060169-RA,3L,-,231
FBti0060173,FBti0060173-RA,2L,-,148
FBti0060174,FBti0060174-RA,2L,-,1019
FBti0060175,FBti0060175-RA,2L,+,196
FBti0060176,FBti0060176-RA,2L,-,176
FBti0060177,FBti0060177-RA,X,+,131
FBti0060178,FBti0060178-RA,X,-,178
FBti0060179,FBti0060179-RA,X,-,2362
FBti0060180,FBti0060180-RA,X,-,3417
FBti0060181,FBti0060181-RA,X,-,240
FBti0060182,FBti0060182-RA,X,-,440
FBti0060184,FBti0060184-RA,2L,+,133
FBti0060186,FBti0060186-RA,2L,-,96
FBti0060187,FBti0060187-RA,3L,+,111
FBti0060188,FBti0060188-RA,2L,+,125
FBti0060189,FBti0060189-RA,2L,+,488
FBti0060190,FBti0060190-RA,3L,+,31
FBti0060191,FBti0060191-RA,2L,+,305
FBti0060192,FBti0060192-RA,2L,-,400
FBti0060193,FBti0060193-RA,2L,+,184
FBti0060194,FBti0060194-RA,2L,+,390
FBti0060195,FBti0060195-RA,2L,-,1421
FBti0060196,FBti0060196-RA,2L,-,120
FBti0060197,FBti0060197-RA,X,-,172
FBti0060198,FBti0060198-RA,X,+,1477
FBti0060199,FBti0060199-RA,X,+,15396
FBti0060200,FBti0060200-RA,X,-,7070
FBti0060201,FBti0060201-RA,X,-,2127
FBti0060202,FBti0060202-RA,X,-,7629
FBti0060203,FBti0060203-RA,X,+,4245
FBti0060204,FBti0060204-RA,X,-,310
FBti0060206,FBti0060206-RA,3L,+,398
FBti0060208,FBti0060208-RA,3L,-,402
FBti0060209,FBti0060209-RA,3L,+,132
FBti0060210,FBti0060210-RA,2L,+,256
FBti0060211,FBti0060211-RA,3L,+,122
FBti0060212,FBti0060212-RA,2L,+,647
FBti0060213,FBti0060213-RA,3L,-,374
FBti0060215,FBti0060215-RA,3L,+,299
FBti0060216,FBti0060216-RA,3L,-,90
FBti0060217,FBti0060217-RA,2L,+,2374
FBti0060218,FBti0060218-RA,X,-,3166
FBti0060220,FBti0060220-RA,X,-,215
FBti0060221,FBti0060221-RA,X,-,376
FBti0060222,FBti0060222-RA,3L,+,117
FBti0060223,FBti0060223-RA,2R,+,48
FBti0060224,FBti0060224-RA,3L,+,64
FBti0060225,FBti0060225-RA,3L,-,295
FBti0060226,FBti0060226-RA,3L,-,129
FBti0060227,FBti0060227-RA,3L,+,54
FBti0060228,FBti0060228-RA,3L,-,332
FBti0060230,FBti0060230-RA,3L,+,323
FBti0060231,FBti0060231-RA,3L,-,91
FBti0060232,FBti0060232-RA,3L,+,55
FBti0060234,FBti0060234-RA,3L,+,139
FBti0060235,FBti0060235-RA,3L,+,337
FBti0060238,FBti0060238-RA,3L,-,38
FBti0060239,FBti0060239-RA,3L,+,660
FBti0060240,FBti0060240-RA,2L,+,35
FBti0060241,FBti0060241-RA,3L,-,100
FBti0060242,FBti0060242-RA,2L,+,31
FBti0060243,FBti0060243-RA,2L,-,55
FBti0060244,FBti0060244-RA,2L,+,68
FBti0060245,FBti0060245-RA,3L,-,59
FBti0060249,FBti0060249-RA,3L,-,56
FBti0060250,FBti0060250-RA,2L,+,1954
FBti0060251,FBti0060251-RA,2L,+,1416
FBti0060252,FBti0060252-RA,2L,+,3418
FBti0060253,FBti0060253-RA,2R,+,8729
FBti0060254,FBti0060254-RA,2R,+,6959
FBti0060255,FBti0060255-RA,3L,+,171
FBti0060256,FBti0060256-RA,2R,-,2773
FBti0060257,FBti0060257-RA,3L,+,61
FBti0060258,FBti0060258-RA,2R,+,1716
FBti0060260,FBti0060260-RA,2R,-,1268
FBti0060261,FBti0060261-RA,2R,-,1268
FBti0060262,FBti0060262-RA,3L,+,362
FBti0060263,FBti0060263-RA,2R,-,910
FBti0060264,FBti0060264-RA,3L,+,56
FBti0060266,FBti0060266-RA,3L,+,166
FBti0060267,FBti0060267-RA,2R,+,9377
FBti0060268,FBti0060268-RA,3L,+,440
